Blockno,UnixTimestamp,DateTime (UTC),Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3083.38454496098/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Total Value,Net Value,Fee Ratio,Time Gap,Block Gap,Total Value_z,Net Value_z,Fee Ratio_z,Time Gap_z,Block Gap_z
19557844,1711936307,2024-04-01 01:51:47,0.44,0,1356.68919978283,0.0034211117331985,10.548603044729,3505.52,0.44,0.44,0.4434211127331985,12.0,1.0,0.1172741242841544,0.1172741242841544,0.11664585856057753,0.26845584948780987,0.2838503468984646
19557847,1711936343,2024-04-01 01:52:23,0.0,0,0.0,0.0042097375413491,12.980239673338,3505.52,0.0,0.0,0.0042097385413491,36.0,3.0,-0.21885384984051884,-0.21885384984051884,-0.2183333393738484,2.3495089462925374,2.397404679723965
19557848,1711936355,2024-04-01 01:52:35,0.0,0,0.0,0.0038922104570146,12.0011815688945,3505.52,0.0,0.0,0.0038922114570146,12.0,1.0,-0.21885384984051884,-0.21885384984051884,-0.21857551199114125,0.26845584948780987,0.2838503468984646
19557848,1711936355,2024-04-01 01:52:35,0.3548,0,1093.98483655216,0.0026490099382744,8.16791630312332,3505.52,0.3548,0.3548,0.3574490109382744,0.0,0.0,0.05218752565819495,0.05218752565819495,0.051076368797270476,-0.7720706989145539,-0.7729268195142854
19557848,1711936355,2024-04-01 01:52:35,0.0,0,0.0,0.0039887555634037,12.2988672578262,3505.52,0.0,0.0,0.0039887565634037,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.21850187864691784,-0.7720706989145539,-0.7729268195142854
19557848,1711936355,2024-04-01 01:52:35,1.058313262910764,0,3263.18675858628,0.0011898118278844,3.66864740151082,3505.52,1.058313262910764,1.058313262910764,1.0595030757386485,0.0,0.0,0.5896204525491807,0.5896204525491807,0.5865213079593151,-0.7720706989145539,-0.7729268195142854
19557848,1711936355,2024-04-01 01:52:35,0.0,0,0.0,0.0023429942699825,7.2243523209963,3505.52,0.0,0.0,0.0023429952699825,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.219757073367401,-0.7720706989145539,-0.7729268195142854
19557848,1711936355,2024-04-01 01:52:35,0.0,0,0.0,0.0026425634584592,8.14803932689176,3505.52,0.0,0.0,0.0026425644584592,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.21952859693810445,-0.7720706989145539,-0.7729268195142854
19557849,1711936367,2024-04-01 01:52:47,0.0,0,0.0,0.0038070955938349,11.7387397152199,3505.52,0.0,0.0,0.0038070965938349,12.0,1.0,-0.21885384984051884,-0.21885384984051884,-0.21864042767929415,0.26845584948780987,0.2838503468984646
19557849,1711936367,2024-04-01 01:52:47,0.3,0,925.015363488294,0.0030542422355217,9.41740330557498,3505.52,0.3,0.3,0.3030542432355217,0.0,0.0,0.010324314335394725,0.010324314335394725,0.009590385674851482,-0.7720706989145539,-0.7729268195142854
19557849,1711936367,2024-04-01 01:52:47,0.0,0,0.0,0.0006541360445229,2.016952969984,3505.52,0.0,0.0,0.0006541370445229,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.22104513739996473,-0.7720706989145539,-0.7729268195142854
19557851,1711936391,2024-04-01 01:53:11,0.0,0,0.0,0.0024094562720403,7.42928023096858,3505.52,0.0,0.0,0.0024094572720403,24.0,2.0,-0.21885384984051884,-0.21885384984051884,-0.21970638390567337,1.3089823978901738,1.3406275133112147
19557852,1711936415,2024-04-01 01:53:35,0.15,0,462.507681744147,0.0031872494308571,9.82751563604054,3505.52,0.15,0.15,0.1531872504308571,24.0,1.0,-0.10426476775256205,-0.10426476775256205,-0.10471067298721848,1.3089823978901738,0.2838503468984646
19557853,1711936427,2024-04-01 01:53:47,0.0,0,0.0,0.0041247700105563,12.718252102068,3505.52,0.0,0.0,0.0041247710105563,12.0,1.0,-0.21885384984051884,-0.21885384984051884,-0.21839814269404434,0.26845584948780987,0.2838503468984646
19557854,1711936439,2024-04-01 01:53:59,0.01,0,30.8338454496098,0.0033096715910496,10.2049902327389,3505.52,0.01,0.01,0.0133096725910496,12.0,1.0,-0.2112145777013217,-0.2112145777013217,-0.21139297127697546,0.26845584948780987,0.2838503468984646
19557854,1711936439,2024-04-01 01:53:59,0.0,0,0.0,0.0040776575678953,12.5729863244918,3505.52,0.0,0.0,0.004077658567895301,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.21843407456917927,-0.7720706989145539,-0.7729268195142854
19557856,1711936463,2024-04-01 01:54:23,0.16,0,493.341527193757,0.0030604256247451,9.43646907234181,3505.52,0.16,0.16,0.1630604266247451,24.0,2.0,-0.09662549561336492,-0.09662549561336492,-0.09718056598901213,1.3089823978901738,1.3406275133112147
19557857,1711936475,2024-04-01 01:54:35,0.2,0,616.676908992196,0.0028732178036835,8.85923537018462,3505.52,0.2,0.2,0.2028732188036835,12.0,1.0,-0.06606840705657645,-0.06606840705657645,-0.06681601266620735,0.26845584948780987,0.2838503468984646
