Blockno,UnixTimestamp,DateTime (UTC),Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3083.38454496098/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Total Value,Net Value,Fee Ratio,Time Gap,Block Gap,Total Value_z,Net Value_z,Fee Ratio_z,Time Gap_z,Block Gap_z,IF_Score,anomaly_label,StatScore,TempScore,FinalScore,FraudFlag
19559903,1711961435,2024-04-01 08:50:35,0.5,0,1541.69227248049,0.0024157929346702,7.44881859858817,3505.52,0.5,0.5,0.0048315858596772,0.0,0.0,0.1631097571193371,0.1631097571193371,-0.4341368128790567,-0.7720706989145539,-0.7729268195142854,0.1699370049759454,0,0.02308906104072541,0.007197429801018652,0.07864991236687206,0
19559903,1711961435,2024-04-01 08:50:35,0.0,0,0.0,0.0036266091470956,11.1822305947688,3505.52,0.0,0.0,3626609.1470956,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.2766726451996609,-0.7720706989145539,-0.7729268195142854,0.006002075423407,0,0.02042571688204178,0.05263157935125611,0.021097432792430735,0
19559904,1711961447,2024-04-01 08:50:47,0.9,0,2775.04609046488,0.0029107352037229,8.97491594163333,3505.52,0.9,0.9,0.0032341502227652,12.0,1.0,0.4686806426872218,0.4686806426872218,-0.4341368131921514,0.2684558494878098,0.2838503468984646,0.2621053284139471,0,0.017903661465579174,0.04506548452569766,0.12101669285695005,0
19559905,1711961459,2024-04-01 08:50:59,0.0,0,0.0,0.0041254980227882,12.7204968437324,3505.52,0.0,0.0,4125498.0227882,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.3744540485607023,0.2684558494878098,0.2838503468984646,0.0403259522087231,0,0.009799750096020875,0.052631579347626294,0.03057659679142285,0
19559906,1711961471,2024-04-01 08:51:11,0.0,0,0.0,0.0006108918663123,1.88361453922983,3505.52,0.0,0.0,610891.8663123,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.3144030075611982,0.2684558494878098,0.2838503468984646,0.0507468761803224,0,0.00822742929961366,0.052631579347626294,0.03411603806149968,0
19559907,1711961483,2024-04-01 08:51:23,1.0896537613296289,0,3359.82156704238,0.0044885813729006,13.8400224340016,3505.52,1.0896537613296289,1.0896537613296289,0.0041192730462419,12.0,1.0,0.6135623121891592,0.6135623121891592,-0.4341368130186688,0.2684558494878098,0.2838503468984646,0.2916235972568967,0,0.02169710880490513,0.07903159270597485,0.1411346009659157,0
19559907,1711961483,2024-04-01 08:51:23,0.0176185074553396,0,54.3246335930739,0.0038135825437375,11.7587414762935,3505.52,0.0176185074553396,0.0176185074553396,0.216453200530816,0.0,0.0,-0.2053945925267375,-0.2053945925267375,-0.4341367714015665,-0.7720706989145539,-0.7729268195142854,0.1005795158711285,0,0.024196206891341727,0.05023215584271136,0.05995672027353036,0
19559908,1711961495,2024-04-01 08:51:35,0.0,0,0.0,0.0023045047547317,7.10567434452897,3505.52,0.0,0.0,2304504.7547317,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.0175423475042766,0.2684558494878098,0.2838503468984646,0.0301256093303086,0,0.0004547049359090393,0.052631579314488364,0.02275844156938473,0
19559908,1711961495,2024-04-01 08:51:35,0.0575985437676124,0,177.598459665315,0.0019153545809801,5.9057747131143,3505.52,0.0575985437676124,0.0575985437676124,0.0332535238296003,0.0,0.0,-0.1748527547742941,-0.1748527547742941,-0.4341368073084033,-0.7720706989145539,-0.7729268195142854,0.1122121863292782,0,0.023396528660917848,0.04369814766960362,0.06298311552999913,0
19559909,1711961507,2024-04-01 08:51:47,0.0,0,0.0,0.0029214065582866,9.00781983136873,3505.52,0.0,0.0,2921406.5582866,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.138454091635296,-0.7720706989145539,-0.7729268195142854,0.0009735522045551,0,0.0168067303898614,0.05263157931581591,0.017638428900929783,0
